Date,Open,High,Low,Close,Volume,Adj Close
1989-10-04,64.625,64.625,62.75,64.25,35577600,0.804316
1989-10-05,64.25,64.875,63.375,64.125,19648000,0.802751
1989-10-06,64.25,66.25,64.25,65.75,25523200,0.8230940000000001
1989-10-09,65.75,67.125,65.25,67.0,12812800,0.838742
1989-10-10,67.0,67.625,65.25,65.75,23430400,0.8230940000000001
1989-10-11,65.5,65.5,64.75,65.5,14092800,0.8199639999999999
1989-10-12,65.75,67.5,65.75,66.75,28640000,0.8356120000000001
1989-10-13,66.75,69.25,64.0,64.5,48659200,0.807446
1989-10-16,64.5,64.75,61.0,64.75,68166400,0.810575
1989-10-17,64.75,64.875,63.0,64.25,29395200,0.804316
1989-10-18,64.25,65.875,63.75,65.25,20480000,0.8168350000000001
1989-10-19,65.25,66.75,65.25,66.125,21113600,0.827788
1989-10-20,66.125,66.625,65.25,66.25,20480000,0.8293530000000001
1989-10-23,66.25,67.25,66.0,66.375,14131200,0.830918
1989-10-24,66.125,66.125,64.0,65.375,23238400,0.818399
1989-10-25,65.5,66.25,65.5,65.625,4787200,0.8215290000000001
1989-10-26,65.5,65.5,62.5,62.875,27353600,0.787103
1989-10-27,62.875,63.0,58.25,60.25,45068800,0.754242
1989-10-30,60.25,60.75,57.5,59.0,45740800,0.738594
1989-10-31,59.0,61.75,59.0,61.5,18988800,0.76989
1989-11-01,61.5,62.75,60.75,62.75,24256000,0.785538
1989-11-02,62.75,62.75,59.75,60.0,46880000,0.751112
1989-11-03,60.0,60.5,59.0,59.625,20435200,0.746418
1989-11-06,59.625,59.75,57.5,58.0,20710400,0.726075
1989-11-07,58.0,59.5,57.5,58.75,20089600,0.735464
1989-11-08,58.75,61.5,58.5,61.0,47820800,0.7636310000000001
1989-11-09,61.0,62.125,60.25,61.0,28716800,0.7636310000000001
1989-11-10,61.5,63.25,61.5,63.0,30521600,0.788668
1989-11-13,63.0,63.5,61.5,62.25,22528000,0.7792789999999999
1989-11-14,62.25,62.25,60.5,61.5,15532800,0.76989
1989-11-15,61.5,61.75,57.0,58.25,84230400,0.729205
1989-11-16,58.25,60.0,58.25,59.0,40147200,0.738594
1989-11-17,59.0,60.0,59.0,59.5,31308800,0.744853
1989-11-20,59.5,59.75,58.5,59.25,19040000,0.7417229999999999
1989-11-21,59.25,59.25,58.0,58.625,24025600,0.733899
1989-11-22,58.625,59.25,58.0,58.75,18195200,0.735464
1989-11-24,59.375,60.0,59.375,59.5,6080000,0.744853
1989-11-27,59.5,60.75,59.5,60.75,16224000,0.760501
1989-11-28,60.75,61.25,60.25,60.25,10732800,0.754242
1989-11-29,60.25,60.5,57.5,58.25,41785600,0.729205
1989-11-30,58.25,59.5,58.0,59.0,28787200,0.738594
1989-12-01,59.0,59.5,56.5,56.75,55200000,0.710427
1989-12-04,56.75,56.75,54.0,55.75,72691200,0.697909
1989-12-05,55.75,56.5,54.5,55.125,26540800,0.690084
1989-12-06,55.125,55.25,54.0,54.5,19020800,0.6822600000000001
1989-12-07,54.5,54.75,53.75,54.0,19168000,0.6760010000000001
1989-12-08,54.0,55.25,54.0,55.0,20576000,0.68852
1989-12-11,55.0,55.25,54.25,55.0,17516800,0.691036
1989-12-12,55.0,55.25,50.5,52.75,67942400,0.662767
1989-12-13,52.75,53.0,50.0,50.75,52448000,0.637638
1989-12-14,50.75,50.75,49.0,49.875,56307200,0.626644
1989-12-15,49.875,50.5,47.25,47.625,36006400,0.598375
1989-12-18,48.25,50.75,48.25,49.125,59488000,0.617221
1989-12-19,49.125,53.5,49.125,52.75,42022400,0.662767
1989-12-20,52.75,53.75,51.75,53.5,26636800,0.67219
1989-12-21,53.5,54.75,53.25,54.125,12537600,0.6800430000000001
1989-12-22,54.125,54.25,53.75,53.75,6707200,0.675331
1989-12-26,53.75,54.25,53.125,53.75,5824000,0.675331
1989-12-27,53.75,54.5,52.375,53.0,17484800,0.6659079999999999
1989-12-28,53.0,53.75,51.5,52.5,29619200,0.659626
1989-12-29,52.5,54.25,52.25,53.25,16300800,0.669049
1990-01-02,53.25,56.25,52.5,56.25,34054400,0.706742
